"Well","Cycle","Time","Object Index","Area [um^2]","Area [%]","Perimeter [um]","Form factor","Extent","Compactness","Eccentricity","Characteristic RI","Characteristic dry mass density [pg / um^3]","Dry mass [pg]","Granularity"
"A1",11,"00:34:01",8,550.52,0.906759,192.7,0.186302,0.460686,5.36762,0.816755,1.34512,0.0756118,133.203,13.8161
"A1",11,"00:34:01",9,373.16,0.61463,146.553,0.21833,0.484271,4.58022,0.783027,1.35207,0.110338,131.756,9.30068
"A1",12,"00:36:55",1,606,0.998139,196.844,0.196533,0.43636,5.0882,0.829334,1.34316,0.0658105,127.62,13.714
"A1",12,"00:36:55",2,937.04,1.54339,193.414,0.31477,0.676309,3.17693,0.86498,1.34215,0.0607639,182.202,12.171
"A1",12,"00:36:55",3,633.48,1.0434,157.543,0.320735,0.66654,3.11784,0.698255,1.34352,0.0676214,137.078,15.2374
"A1",12,"00:36:55",4,977.28,1.60967,231.914,0.228337,0.369997,4.37949,0.926117,1.34286,0.0643195,201.146,14.4745
"A1",12,"00:36:55",5,1064.32,1.75304,271.243,0.181788,0.564686,5.5009,0.949402,1.34377,0.0688496,234.49,12.614
"A1",12,"00:36:55",6,483.84,0.79693,191.485,0.165822,0.429668,6.03056,0.898234,1.34862,0.0931019,144.149,9.2435
"A1",12,"00:36:55",7,405.8,0.668391,138.588,0.265505,0.492667,3.76641,0.663841,1.34794,0.0896894,116.467,8.57061
"A1",12,"00:36:55",8,380.76,0.627148,138.145,0.250721,0.500158,3.9885,0.827383,1.35145,0.10725,130.676,8.75435
"A1",12,"00:36:55",9,508.8,0.838042,146.624,0.297402,0.473214,3.36245,0.784173,1.34573,0.0786443,128.045,12.6208
"A1",13,"00:39:55",1,610.76,1.00598,218.685,0.160488,0.417505,6.23099,0.850317,1.34293,0.0646379,126.33,13.9452
"A1",13,"00:39:55",2,951.04,1.56645,207.533,0.277481,0.638453,3.60386,0.862301,1.34214,0.060713,184.77,13.2709
"A1",13,"00:39:55",3,665.48,1.09611,176.725,0.267762,0.598949,3.73466,0.700956,1.3431,0.0655201,139.527,15.7662
"A1",13,"00:39:55",4,1024.28,1.68709,252.177,0.202403,0.358641,4.94065,0.924023,1.34277,0.0638279,209.208,14.3244
"A1",13,"00:39:55",5,1024.72,1.68781,233.435,0.23631,0.598831,4.23173,0.940477,1.34386,0.0692869,227.199,12.2186
"A1",13,"00:39:55",6,430.96,0.709832,199.59,0.135947,0.45925,7.35583,0.572378,1.34727,0.086375,119.117,10.1167
"A1",13,"00:39:55",7,490.28,0.807538,189.822,0.170986,0.377871,5.84844,0.888593,1.34836,0.0918046,144.032,9.96525
"A1",13,"00:39:55",8,497.16,0.81887,176.131,0.201388,0.41929,4.96553,0.815792,1.34615,0.0807726,128.502,13.1994
"A1",13,"00:39:55",9,324.68,0.534779,126.13,0.256467,0.573154,3.89914,0.766474,1.35393,0.119662,124.326,10.376
"A1",14,"00:42:55",1,643.72,1.06027,215.678,0.173899,0.433027,5.75048,0.84048,1.34286,0.0643078,132.468,14.4801
"A1",14,"00:42:55",2,926.6,1.5262,209.941,0.264186,0.696524,3.78521,0.873392,1.34224,0.0611922,181.442,12.704
"A1",14,"00:42:55",3,629.92,1.03754,159.84,0.309831,0.623955,3.22756,0.697397,1.34363,0.0681603,137.394,15.6354
"A1",14,"00:42:55",4,1027.12,1.69176,267.03,0.181014,0.349813,5.52444,0.92465,1.34284,0.0641986,211.007,13.6072
"A1",14,"00:42:55",5,1005,1.65533,203.816,0.304017,0.62659,3.28929,0.939194,1.34402,0.0701247,225.521,12.2168
"A1",14,"00:42:55",6,451.72,0.744026,148.906,0.256009,0.560169,3.90612,0.516969,1.34702,0.0850798,122.983,10.1423
"A1",14,"00:42:55",7,499.04,0.821966,212.58,0.138772,0.382758,7.20607,0.897589,1.34875,0.0937454,149.705,8.41498
"A1",14,"00:42:55",8,392,0.645661,179.013,0.153719,0.460548,6.50536,0.802964,1.35125,0.106242,133.27,10.4637
"A1",14,"00:42:55",9,468.72,0.772026,127.731,0.361021,0.621975,2.76992,0.746668,1.34669,0.0834381,125.149,12.8213
"A1",15,"00:45:55",1,609.08,1.00321,209.822,0.173853,0.4069,5.75199,0.837943,1.34304,0.0651907,127.06,14.5715
"A1",15,"00:45:55",2,909.72,1.4984,212.039,0.254265,0.599763,3.9329,0.865138,1.34228,0.0613905,178.714,12.4114
"A1",15,"00:45:55",3,647.76,1.06692,173.53,0.270319,0.626363,3.69934,0.678762,1.34342,0.0670962,139.079,16.4444
"A1",15,"00:45:55",4,1001.76,1.64999,252.823,0.196944,0.384169,5.0776,0.923222,1.34293,0.0646652,207.293,12.9078
"A1",15,"00:45:55",5,1016.32,1.67398,218.266,0.268082,0.630159,3.7302,0.93719,1.3439,0.0695232,226.105,13.2471
"A1",15,"00:45:55",6,475.16,0.782634,210.074,0.135302,0.484758,7.39088,0.504324,1.34668,0.0834092,126.825,9.05717
"A1",15,"00:45:55",7,458.36,0.754962,166.094,0.208789,0.445183,4.78953,0.910944,1.34945,0.0972391,142.626,7.86337
"A1",15,"00:45:55",8,348.4,0.573848,131.047,0.254939,0.488338,3.92251,0.791237,1.35293,0.114635,127.804,9.25077
"A1",15,"00:45:55",9,480.8,0.791923,142.119,0.299137,0.528538,3.34295,0.751866,1.34633,0.0816579,125.636,12.678
"A1",16,"00:48:55",1,599.48,0.9874,210.042,0.170754,0.44716,5.85637,0.85185,1.34332,0.0666167,127.793,14.4421
"A1",16,"00:48:55",2,904.76,1.49023,238.938,0.199146,0.644251,5.02144,0.87375,1.34216,0.0607874,175.994,13.2479
"A1",16,"00:48:55",3,641.84,1.05717,157.529,0.325026,0.618224,3.07668,0.65387,1.3435,0.0675068,138.651,14.3237
"A1",16,"00:48:55",4,976.32,1.60809,252.957,0.191738,0.373668,5.21546,0.938217,1.3431,0.0655127,204.676,13.2224
"A1",16,"00:48:55",5,1107.4,1.82399,247.811,0.226608,0.614062,4.41291,0.950224,1.34349,0.0674599,239.056,12.7175
"A1",16,"00:48:55",6,488.96,0.805363,225.766,0.12055,0.465251,8.2953,0.503562,1.3464,0.0819961,128.297,8.79745
"A1",16,"00:48:55",7,454.72,0.748967,161.854,0.218126,0.368552,4.58451,0.920328,1.34943,0.0971407,141.35,8.45359
"A1",16,"00:48:55",8,332.96,0.548417,122.371,0.279412,0.522241,3.57894,0.781702,1.35369,0.118434,126.188,9.25959
"A1",16,"00:48:55",9,490.48,0.807867,133.166,0.34757,0.587232,2.87712,0.720306,1.34592,0.0796241,124.973,14.3456
"A1",17,"00:51:55",1,604.16,0.995109,216.236,0.162369,0.433351,6.15879,0.823847,1.34312,0.065579,126.785,13.9432
"A1",17,"00:51:55",2,869.04,1.43139,203.582,0.263494,0.665625,3.79515,0.876909,1.34227,0.0613469,170.601,13.9297
"A1",17,"00:51:55",3,631.16,1.03958,160.803,0.306733,0.585492,3.26016,0.672275,1.34358,0.0679075,137.154,15.4676
"A1",17,"00:51:55",4,971.92,1.60084,237.749,0.216074,0.352145,4.62804,0.926705,1.34303,0.0651697,202.687,13.095
"A1",17,"00:51:55",5,1028.52,1.69407,234.663,0.234712,0.570007,4.26054,0.939867,1.34394,0.0697148,229.45,12.8707
"A1",17,"00:51:55",6,452,0.744487,165.294,0.20789,0.542435,4.81024,0.576004,1.34661,0.0830687,120.151,10.2936
"A1",17,"00:51:55",7,458,0.754369,165.055,0.21126,0.363261,4.73351,0.9255,1.34944,0.0971965,142.451,8.61722
"A1",17,"00:51:55",8,409,0.673662,177.116,0.16384,0.441627,6.10352,0.715134,1.35077,0.103862,135.935,7.63919
"A1",17,"00:51:55",9,504.76,0.831388,132.986,0.358658,0.630729,2.78817,0.752235,1.34572,0.0786156,126.982,13.2789
"A1",18,"00:54:56",1,599.68,0.98773,211.628,0.168261,0.437442,5.94315,0.8137,1.34305,0.065275,125.261,13.2982
"A1",18,"00:54:56",2,903.04,1.48739,192.448,0.3064,0.678141,3.2637,0.863737,1.34203,0.0601537,173.828,12.8571
"A1",18,"00:54:56",3,641.64,1.05684,156.749,0.328166,0.639823,3.04724,0.672932,1.3433,0.0665234,136.589,14.9024
"A1",18,"00:54:56",4,935.56,1.54096,224.728,0.232792,0.391618,4.29568,0.926945,1.34312,0.0655767,196.323,13.8316
"A1",18,"00:54:56",5,1031.04,1.69822,232.301,0.240096,0.601849,4.165,0.941006,1.34386,0.069295,228.627,13.2023
